Month Lookup,Month,Number of Records,Unique Visits,Year
D,December,1,2374720,2013
J,January,1,2083839,2014
F,February,1,2192680,2014
M,March,1,3546499,2014
A,April,1,4324239,2014
M ,May,1,6334969,2014
J ,June,1,9323817,2014
J  ,July,1,11730110,2014
A ,August,1,11425750,2014
S ,September,1,7968380,2014
O,October,1,6057157,2014
N,November,1,3110621,2014
D,December,1,2647128,2014
J,January,1,2435382,2015
F,February,1,2460919,2015
M,March,1,4080229,2015
A,April,1,4901627,2015
M ,May,1,7158449,2015
J ,June,1,10309303,2015
J  ,July,1,12650759,2015
A ,August,1,11664522,2015
S ,September,1,8787692,2015
O,October,1,6418408,2015
N,November,1,3371161,2015
D,December,1,2750426,2015
J,January,1,2493670,2016
F,February,1,2717646,2016
M,March,1,4654379,2016
A,April,1,4990870,2016
M ,May,1,7793340,2016
J ,June,1,11259106,2016
J  ,July,1,13748438,2016
A ,August,1,12361952,2016
S ,September,1,10014385,2016
O,October,1,7263074,2016
N,November,1,3993657,2016
D,December,1,2876747,2016
J,January,1,2683603,2017
F,February,1,2823843,2017
M,March,1,4547786,2017
A,April,1,5618026,2017
M ,May,1,7802448,2017
J ,June,1,11354974,2017
J  ,July,1,13746910,2017
A ,August,1,12922430,2017
S ,September,1,9825932,2017
O,October,1,7050075,2017
N,November,1,3925506,2017
D,December,1,3150265,2017
